Name,Description,WKT,SSID,BSSID,City,County,ZIP,Latitude,Longitude,First_Seen,Last_Seen,Wigle_URL
Flock Camera - Spring,"Flock Safety ALPR Camera - SSID: Flock-623409 - BSSID: 00:F4:8D:62:34:09 - Location: Spring, Montgomery County - ZIP: 77379",POINT(-95.57138824 30.02189636),Flock-623409,00:F4:8D:62:34:09,Spring,Montgomery,77379,30.02189636,-95.57138824,2021-08-07T19:00:00.000Z,2021-10-20T07:00:00.000Z,https://wigle.net/search?netid=00:F4:8D:62:34:09
Flock Camera - Pinehurst,"Flock Safety ALPR Camera - SSID: Flock-6FE567 - BSSID: 14:5A:FC:6F:E5:67 - Location: Pinehurst, Montgomery County - ZIP: 77356",POINT(-95.68084717 30.39705658),Flock-6FE567,14:5A:FC:6F:E5:67,Pinehurst,Montgomery,77356,30.39705658,-95.68084717,2022-05-20T13:00:00.000Z,2022-05-20T21:00:00.000Z,https://wigle.net/search?netid=14:5A:FC:6F:E5:67
Flock Camera - Houston,"Flock Safety ALPR Camera - SSID: Flock-68E1B3 - BSSID: 74:4C:A1:68:E1:B3 - Location: Houston, Harris County - ZIP: 77057",POINT(-95.49242401 29.75018311),Flock-68E1B3,74:4C:A1:68:E1:B3,Houston,Harris,77057,29.75018311,-95.49242401,2024-05-02T16:00:00.000Z,2024-05-14T05:00:00.000Z,https://wigle.net/search?netid=74:4C:A1:68:E1:B3
Flock Camera - Sugar Land,"Flock Safety ALPR Camera - SSID: Flock-127CDF - BSSID: 80:30:49:12:7C:DF - Location: Sugar Land, Harris County - ZIP: 77478",POINT(-95.63022614 29.6209774),Flock-127CDF,80:30:49:12:7C:DF,Sugar Land,Harris,77478,29.6209774,-95.63022614,2021-05-12T17:00:00.000Z,2021-05-31T17:00:00.000Z,https://wigle.net/search?netid=80:30:49:12:7C:DF
Flock Camera - Conroe,"Flock Safety ALPR Camera - SSID: Flock-3D16C5 - BSSID: D8:F3:BC:3D:16:C5 - Location: Conroe, Montgomery County - ZIP: 77301",POINT(-95.47190094 30.31661224),Flock-3D16C5,D8:F3:BC:3D:16:C5,Conroe,Montgomery,77301,30.31661224,-95.47190094,2021-06-12T15:00:00.000Z,2021-06-13T04:00:00.000Z,https://wigle.net/search?netid=D8:F3:BC:3D:16:C5
Flock Camera - Houston,"Flock Safety ALPR Camera - SSID: Flock-3D1F01 - BSSID: D8:F3:BC:3D:1F:01 - Location: Houston, Harris County - ZIP: 77055",POINT(-95.49349976 29.78390503),Flock-3D1F01,D8:F3:BC:3D:1F:01,Houston,Harris,77055,29.78390503,-95.49349976,2021-05-08T21:00:00.000Z,2024-11-15T17:00:00.000Z,https://wigle.net/search?netid=D8:F3:BC:3D:1F:01
Flock Camera - Conroe,"Flock Safety ALPR Camera - SSID: Flock-3D2027 - BSSID: D8:F3:BC:3D:20:27 - Location: Conroe, Montgomery County - ZIP: 77301",POINT(-95.46896362 30.31544685),Flock-3D2027,D8:F3:BC:3D:20:27,Conroe,Montgomery,77301,30.31544685,-95.46896362,2021-05-10T07:00:00.000Z,2021-05-28T08:00:00.000Z,https://wigle.net/search?netid=D8:F3:BC:3D:20:27
Flock Camera - Spring,"Flock Safety ALPR Camera - SSID: Flock-3D20CD - BSSID: D8:F3:BC:3D:20:CD - Location: Spring, Montgomery County - ZIP: 77379",POINT(-95.57007599 30.02284431),Flock-3D20CD,D8:F3:BC:3D:20:CD,Spring,Montgomery,77379,30.02284431,-95.57007599,2021-10-03T21:00:00.000Z,2021-10-18T20:00:00.000Z,https://wigle.net/search?netid=D8:F3:BC:3D:20:CD
Flock Camera - Katy,"Flock Safety ALPR Camera - SSID: Flock-564F77 - BSSID: E4:AA:EA:56:4F:77 - Location: Katy, Waller County - ZIP: 77493",POINT(-95.81030273 29.78261757),Flock-564F77,E4:AA:EA:56:4F:77,Katy,Waller,77493,29.78261757,-95.81030273,2020-08-25T13:00:00.000Z,2021-01-14T09:00:00.000Z,https://wigle.net/search?netid=E4:AA:EA:56:4F:77
Flock Camera - Beach City,"Flock Safety ALPR Camera - SSID: Flock-80A09B - BSSID: E4:AA:EA:80:A0:9B - Location: Beach City, Chambers County - ZIP: 77523",POINT(-94.82079315 29.82832336),Flock-80A09B,E4:AA:EA:80:A0:9B,Beach City,Chambers,77523,29.82832336,-94.82079315,2020-10-11T18:00:00.000Z,2021-09-01T18:00:00.000Z,https://wigle.net/search?netid=E4:AA:EA:80:A0:9B
